open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1586435340000,7243.47000000,7248.78000000,7238.00000000,7246.08000000,43.97536800,1586435399999,318541.82204653,562,25.06196800,181561.84085638,0
1586435400000,7246.09000000,7250.00000000,7230.62000000,7241.56000000,188.11101000,1586435459999,1362542.76811284,1151,87.60609600,634618.54540146,0
1586435460000,7241.09000000,7268.95000000,7235.84000000,7257.65000000,308.77294600,1586435519999,2240406.89692967,2028,171.44634200,1244004.85673775,0
1586435520000,7257.55000000,7257.55000000,7240.50000000,7247.38000000,106.20740900,1586435579999,769848.70963531,1084,55.80033200,404517.40018790,0
1586435580000,7247.38000000,7249.17000000,7236.93000000,7240.66000000,106.42466700,1586435639999,770790.40791658,763,33.33949800,241432.53358651,0
1586435640000,7240.65000000,7244.85000000,7229.50000000,7230.46000000,82.44774400,1586435699999,596637.03859243,982,37.30223000,269958.67409814,0
1586435700000,7230.58000000,7237.93000000,7227.95000000,7236.60000000,54.53996000,1586435759999,394500.03507804,709,28.99964800,209778.13905538,0
1586435760000,7236.60000000,7243.42000000,7233.33000000,7238.01000000,84.99991900,1586435819999,615298.51939457,1022,26.58993400,192453.23020973,0
1586435820000,7238.55000000,7242.89000000,7234.05000000,7235.65000000,41.81737400,1586435879999,302716.52562581,679,14.68709700,106318.81382346,0
1586435880000,7234.99000000,7239.95000000,7233.10000000,7238.59000000,43.21987000,1586435939999,312719.18023897,595,19.38990400,140302.51869561,0
1586435940000,7238.24000000,7238.26000000,7228.00000000,7228.40000000,56.97247100,1586435999999,411970.90678214,819,25.48954200,184322.76762030,0
1586436000000,7228.09000000,7239.84000000,7226.07000000,7233.29000000,86.75243300,1586436059999,627394.67056875,846,49.34933600,356849.04381458,0
1586436060000,7230.79000000,7231.27000000,7221.39000000,7227.47000000,36.43635400,1586436119999,263324.98698042,711,15.39920800,111296.43623563,0
1586436120000,7227.47000000,7234.27000000,7226.98000000,7233.26000000,26.14688900,1586436179999,189034.22913053,400,12.32866000,89132.72431675,0
1586436180000,7233.76000000,7244.99000000,7233.76000000,7240.32000000,74.25378800,1586436239999,537601.73623581,793,44.75066500,324001.32238447,0
1586436240000,7240.33000000,7248.49000000,7232.01000000,7237.23000000,76.85186200,1586436299999,556450.43073117,852,32.58252100,235986.25581132,0
1586436300000,7238.20000000,7239.77000000,7226.20000000,7233.30000000,33.07461200,1586436359999,239161.28485741,675,16.07568700,116256.15289046,0
1586436360000,7233.30000000,7237.57000000,7227.04000000,7228.29000000,36.84332800,1586436419999,266434.91061021,612,18.64685800,134844.15479763,0
1586436420000,7228.35000000,7240.00000000,7228.35000000,7239.45000000,21.27596500,1586436479999,153958.98930432,456,11.58037900,83807.80006690,0
1586436480000,7239.56000000,7247.00000000,7238.12000000,7243.55000000,48.94201400,1586436539999,354489.90195232,645,28.95397700,209721.96355725,0
1586436540000,7243.60000000,7247.38000000,7237.34000000,7242.68000000,57.56575900,1586436599999,416988.04114739,834,31.26585900,226502.78855687,0
1586436600000,7242.92000000,7248.45000000,7238.92000000,7241.78000000,57.28191000,1586436659999,414931.33101768,660,29.65297500,214797.40504547,0
1586436660000,7242.79000000,7252.29000000,7241.14000000,7247.69000000,61.88114600,1586436719999,448477.63263331,805,41.99438900,304372.88857684,0
1586436720000,7247.86000000,7282.26000000,7247.24000000,7263.28000000,237.13843900,1586436779999,1722906.90811095,1985,157.54999300,1144580.91086075,0
1586436780000,7263.29000000,7300.00000000,7262.60000000,7290.89000000,310.27132000,1586436839999,2261827.81097989,2539,194.65871600,1418977.12940779,0
1586436840000,7290.89000000,7298.00000000,7280.20000000,7287.21000000,143.18681500,1586436899999,1043778.37479509,1483,65.29493700,476043.88514700,0
1586436900000,7287.34000000,7287.34000000,7276.65000000,7279.61000000,88.87730300,1586436959999,647161.32759350,838,39.69971700,289101.46514113,0
1586436960000,7279.60000000,7295.00000000,7278.00000000,7293.09000000,97.23347600,1586437019999,708292.22966624,850,49.47199300,360408.35120952,0
1586437020000,7292.90000000,7300.00000000,7287.04000000,7299.00000000,91.96629800,1586437079999,670852.48894253,1037,65.17764200,475509.95762575,0
1586437080000,7299.00000000,7304.68000000,7297.23000000,7301.99000000,228.41750800,1586437139999,1667713.22751701,1387,164.07805100,1197982.78541725,0
1586437140000,7301.99000000,7308.85000000,7298.03000000,7303.03000000,132.01263700,1586437199999,964102.04862952,1415,54.20436200,395903.22344807,0
1586437200000,7303.03000000,7308.83000000,7297.68000000,7299.67000000,202.97480500,1586437259999,1482609.80662754,1274,60.14360700,439351.25249198,0
1586437260000,7300.46000000,7303.46000000,7286.22000000,7292.40000000,151.67481500,1586437319999,1106263.21914204,1445,38.11404000,278041.01385230,0
1586437320000,7291.27000000,7292.96000000,7280.00000000,7290.75000000,83.85430800,1586437379999,611128.55580653,895,44.89605300,327225.97646263,0
1586437380000,7290.75000000,7298.73000000,7283.32000000,7286.58000000,47.88898000,1586437439999,349148.00908597,689,19.52525800,142383.12384117,0
1586437440000,7286.27000000,7291.25000000,7276.92000000,7276.92000000,60.96111700,1586437499999,444050.50491896,795,17.56322300,127941.50173243,0
1586437500000,7277.52000000,7287.69000000,7276.14000000,7284.71000000,23.96466400,1586437559999,174534.30082468,469,10.30032400,75015.99455308,0
1586437560000,7284.71000000,7299.99000000,7284.71000000,7292.14000000,72.94019800,1586437619999,531912.89603276,804,54.11661500,394672.24695738,0
1586437620000,7291.98000000,7299.11000000,7288.53000000,7292.76000000,66.55492200,1586437679999,485412.75560477,638,37.89289600,276328.52302763,0
1586437680000,7292.26000000,7297.09000000,7289.07000000,7293.08000000,60.47923900,1586437739999,441033.56673148,617,25.12873000,183256.65946913,0
1586437740000,7294.08000000,7299.88000000,7292.54000000,7294.40000000,40.11622300,1586437799999,292703.79115741,416,31.38066900,228972.18445913,0
1586437800000,7294.69000000,7297.23000000,7288.00000000,7297.23000000,27.27811400,1586437859999,198938.05011147,444,14.93427900,108912.45751870,0
1586437860000,7297.24000000,7304.26000000,7294.95000000,7303.96000000,84.93316600,1586437919999,619982.77773537,572,64.79008400,472963.26090767,0
1586437920000,7302.97000000,7310.11000000,7300.41000000,7306.20000000,96.84713600,1586437979999,707567.92826089,847,68.31909900,499173.25811901,0
1586437980000,7306.78000000,7308.52000000,7298.42000000,7301.84000000,67.45260000,1586438039999,492682.74155203,579,17.21074600,125709.88884481,0
1586438040000,7301.35000000,7304.96000000,7294.66000000,7296.95000000,41.54476700,1586438099999,303250.11209819,541,27.39801900,199983.34595491,0
1586438100000,7296.93000000,7304.89000000,7291.53000000,7303.08000000,94.73078800,1586438159999,691066.15219995,656,75.91108200,553710.05043673,0
